molecule_name         state_type  E1_eV  E2_eV  E3_eV  E4_eV  E5_eV  E6_eV
01-cyclobutadiene     singlet     3.159  5.729  6.705  7.262  7.655  7.915
01-cyclobutadiene     triplet     1.367  4.539  5.368  6.448  7.167  7.516
02-butadiene          singlet     6.507  8.041  8.260  8.400  8.502  9.572
02-butadiene          triplet     3.232  5.046  7.991  8.162  8.310  8.457
03-hexatriene         singlet     5.442  7.186  7.445  7.508  7.913  7.965
03-hexatriene         triplet     2.475  4.236  5.764  7.142  7.790  7.880
04-pentalene          singlet     1.909  4.216  5.277  5.693  7.285  26.515
04-pentalene          triplet     0.993  2.102  3.568  5.128  5.260  8.307
05-cyclooctatetraene  singlet     4.123  5.994  5.995  6.857  6.857  7.179
05-cyclooctatetraene  triplet     2.797  3.889  3.892  4.861  6.069  7.116
06-azulene            singlet     1.833  3.907  4.475  4.969  6.405  6.851
06-azulene            triplet     1.923  2.037  2.702  3.999  4.654  5.346
07-octatetraene       singlet     4.701  6.714  6.720  7.610  7.713  7.804
07-octatetraene       triplet     2.045  3.506  4.751  5.722  6.553  6.674
08-decapentaene       singlet     4.171  6.095  6.438  7.120  7.628  7.680
08-decapentaene       triplet     1.759  2.968  4.556  5.406  5.410  6.383
09-heptalene          singlet     2.460  3.632  4.666  5.345  5.355  7.528
09-heptalene          triplet     1.606  2.136  2.933  2.933  4.159  5.007
10-phenanthrene       singlet     3.711  3.712  4.589  4.779  5.264  6.349
10-phenanthrene       triplet     2.641  3.539  3.585  3.860  4.721  5.016
11-dodecahexaene      singlet     3.766  4.542  5.230  5.494  6.328  14.749
11-dodecahexaene      triplet     1.545  2.577  3.634  4.845  5.674  6.218
12-tetradecaheptaene  singlet     3.453  4.947  5.114  6.187  6.187  6.594
12-tetradecaheptaene  triplet     1.406  2.255  3.205  5.131  5.159  6.098
