molecule_name         energy_type  E1_eV  
01-cyclobutadiene     singlet      missing  
01-cyclobutadiene     triplet      missing 
01-cyclobutadiene     ST-gap       1.50
02-butadiene          singlet      6.35  
02-butadiene          triplet      3.10 
02-butadiene          ST-gap       3.25
03-hexatriene         singlet      5.40  
03-hexatriene         triplet      2.82  
03-hexatriene         ST-gap       2.58
04-pentalene          singlet      missing  
04-pentalene          triplet      missing  
04-pentalene          ST-gap       1.55
05-cyclooctatetraene  singlet      missing  
05-cyclooctatetraene  triplet      missing 
05-cyclooctatetraene  ST-gap       1.24 
06-azulene            singlet      missing  
06-azulene            triplet      missing  
06-azulene            ST-gap       2.09
07-octatetraene       singlet      4.85  
07-octatetraene       triplet      2.67 
07-octatetraene       ST-gap       2.18
08-decapentaene       singlet      4.40  
08-decapentaene       triplet      2.47  
08-decapentaene       ST-gap       1.93
09-heptalene          singlet      missing  
09-heptalene          triplet      missing 
09-heptalene          ST-gap       1.18 
10-phenanthrene       singlet      missing  
10-phenanthrene       triplet      missing  
10-phenanthrene       ST-gap       3.19
11-dodecahexaene      singlet      4.11  
11-dodecahexaene      triplet      2.36 
11-dodecahexaene      ST-gap       1.75 
12-tetradecaheptaene  singlet      missing  
12-tetradecaheptaene  triplet      missing  
12-tetradecaheptaene  ST-gap       1.61
